Model,Train R2,Test R2,CV R2 (mean),CV R2 (std),Test MAE,Test RMSE
Gradient Boosting,0.9977571301827125,0.9739666648503696,0.8739456029552135,0.03259568830731298,991.2645900223654,1434.315903865351
Ridge,0.9536003063203252,0.9631598888076133,0.8553197670323746,0.03988495066360583,1390.259767468868,1706.2410070480046
Linear Regression,0.9649042236888854,0.9688069879371569,0.8526823259321719,0.028731510944305545,1163.4703492692274,1570.032222787666
Random Forest,0.9822432403415373,0.956975184744591,0.8526686394760283,0.05412979296708846,1270.7753170731708,1843.9087122565695
Lasso,0.9647048741755725,0.9697853786249281,0.8494886254651434,0.02789958003753169,1142.826362858049,1545.213477402125
XGBoost,0.9986451067971955,0.9759852884626945,0.8404130584465115,0.05064295624357974,891.7031964557926,1377.5856061814054
ElasticNet,0.8455126270998881,0.7929546640648717,0.8057584988381652,0.02777103609888966,2960.0034642967926,4044.9451329706753
SVR,0.969744845476251,0.9301269364167872,0.8037373165954526,0.03328381192290842,1709.2918875354453,2349.821114523677
Decision Tree,0.9597296049531151,0.9583746235399636,0.7565892001373659,0.12585722011846556,1203.829551613698,1813.6730360254003
KNN,0.849628476444121,0.748510158949296,0.7303214572765462,0.0306925680647645,2848.0902439024385,4458.0007008228
